# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

claim.dil8, long, 0000000000000000
claim.mario45510, long, 0000000000000000
cyan.dil8, long, 0000000000000001
cyan.mario45510, long, 0000000000000001
cyan.spyco01, long, 0000000000000000
jail1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE66666600000080179094056800000000000017A09C011E8D7807E6C9E05706974636808416E7CC3037961770842C185CC
jail2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE66666600000080179094056800000000000017A09BFF60E0CF70F0056057069746368084136AFD5037961770842C0BC3C
jail3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE66666600000070179094056800000000000017A093FE227BC831FF9F8057069746368084123C966037961770842BC029C
jailed.dil8, long, 0000000000000000
jailed.spyco01, long, 0000000000000000
lime.dil8, long, 0000000000000000
lime.mario45510, long, 0000000000000000
lime.spyco01, long, 0000000000000000
purple.dil8, long, 0000000000000000
purple.mario45510, long, 0000000000000000
purple.spyco01, long, 0000000000000001
reveal.dil8, long, 0000000000000000
reveal.mario45510, long, 0000000000000000
setmaxplayer, long, 0000000000000001
spawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809BFE7E388B1085E930179094057400000000000017A09C00E2B2BA0411D6E0570697463680840B25DD60379617708433181A5
taupe.<none>, long, 0000000000000000
taupe.dil8, long, 0000000000000000
taupe.mario45510, long, 0000000000000000
team.blue::1, offlineplayer, 81046E616D6520800444696C38
team.blue::2, offlineplayer, 81046E616D6520800A6D6172696F3435353130
yellow.dil8, long, 0000000000000000
yellow.mario45510, long, 0000000000000000
yellow.spyco01, long, 0000000000000000

claim.dil8, long, 0000000000000001
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
team.blue::1, null, 
claim.dil8, long, 0000000000000001
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000001
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
