# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

claim.<none>, long, 0000000000000000
claim.dil8, long, 0000000000000000
claim.erisium_rodymon, long, 0000000000000000
claim.mario45510, long, 0000000000000000
claim.soraloc, long, 0000000000000000
claim.spyco01, long, 0000000000000001
cyan.<none>, long, 0000000000000000
cyan.dil8, long, 0000000000000001
cyan.erisium_rodymon, long, 0000000000000001
cyan.mario45510, long, 0000000000000001
cyan.soraloc, long, 0000000000000000
cyan.spyco01, long, 0000000000000000
jailed.dil8, long, 0000000000000000
jailed.spyco01, long, 0000000000000000
lime.<none>, long, 0000000000000000
lime.dil8, long, 0000000000000000
lime.erisium_rodymon, long, 0000000000000000
lime.mario45510, long, 0000000000000000
lime.soraloc, long, 0000000000000000
lime.spyco01, long, 0000000000000000
purple.<none>, long, 0000000000000000
purple.dil8, long, 0000000000000000
purple.erisium_rodymon, long, 0000000000000000
purple.mario45510, long, 0000000000000000
purple.soraloc, long, 0000000000000000
purple.spyco01, long, 0000000000000000
reveal.<none>, long, 0000000000000000
reveal.dil8, long, 0000000000000000
reveal.erisium_rodymon, long, 0000000000000000
reveal.mario45510, long, 0000000000000000
reveal.soraloc, long, 0000000000000000
reveal.spyco01, long, 0000000000000001
scoreboard.statut, boolean, 00
seta, long, 0000000000000000
setmaxplayer, long, 0000000000000001
taupe.<none>, long, 0000000000000000
taupe.dil8, long, 0000000000000000
taupe.erisium_rodymon, long, 0000000000000000
taupe.mario45510, long, 0000000000000000
taupe.soraloc, long, 0000000000000000
taupe.spyco01, long, 0000000000000001
team.blue::1, offlineplayer, 81046E616D6520800444696C38
tpblue, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809C09F39BD5B80B2FF0179094051800000000000017A09409F3DC3DC1F4CEF05706974636808BF6699770379617708C3073460
tplime, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809409F3E00DE3BD17F0179094053400000000000017A09C09F39698B719AC305706974636808C037A6A2037961770842344FFF
tppurple, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809409F3E6F34BD810E0179094051800000000000017A09409F3E93CE5D9D8805706974636808412116D60379617708C365A631
yellow.<none>, long, 0000000000000000
yellow.dil8, long, 0000000000000000
yellow.erisium_rodymon, long, 0000000000000000
yellow.mario45510, long, 0000000000000000
yellow.soraloc, long, 0000000000000000
yellow.spyco01, long, 0000000000000000

lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
team.blue::1, null, 
seta, long, 0000000000000000
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
claim.redkill83, long, 0000000000000000
seta, long, 0000000000000000
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000001
team.purple::1, offlineplayer, 81046E616D652080097265646B696C6C3833
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000001
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
team.yellow::1, offlineplayer, 81046E616D652080097265646B696C6C3833
team.purple::1, null, 
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000001
purple.redkill83, long, 0000000000000000
team.blue::1, offlineplayer, 81046E616D652080097265646B696C6C3833
team.yellow::1, null, 
lime.redkill83, long, 0000000000000001
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
team.lime::1, offlineplayer, 81046E616D652080097265646B696C6C3833
team.blue::1, null, 
lime.dil8, long, 0000000000000001
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
team.lime::2, offlineplayer, 81046E616D6520800444696C38
scoreboard.statut, boolean, 01
seta, long, 0000000000000001
taupe.redkill83, long, 0000000000000001
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000001
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
team.lime::1, null, 
claim.redkill83, long, 0000000000000001
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
claim.redkill83, long, 0000000000000000
seta, long, 0000000000000000
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
team.lime::2, null, 
seta, long, 0000000000000000
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
claim.redkill83, long, 0000000000000000
seta, long, 0000000000000000
lime.dil8, long, 0000000000000001
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
team.lime::1, offlineplayer, 81046E616D6520800444696C38
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000001
purple.redkill83, long, 0000000000000000
team.blue::1, offlineplayer, 81046E616D652080097265646B696C6C3833
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
claim.redkill83, long, 0000000000000000
team.blue::1, null, 
seta, long, 0000000000000000
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000001
purple.redkill83, long, 0000000000000000
team.blue::1, offlineplayer, 81046E616D652080097265646B696C6C3833
scoreboard.statut, boolean, 00
scoreboard.statut, boolean, 01
seta, long, 0000000000000001
taupe.dil8, long, 0000000000000001
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000001
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
team.lime::1, null, 
taupe.redkill83, long, 0000000000000001
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000001
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
team.blue::1, null, 
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
seta, long, 0000000000000000
lime.redkill83, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
cyan.redkill83, long, 0000000000000000
purple.redkill83, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
claim.redkill83, long, 0000000000000000
seta, long, 0000000000000000
scoreboard.statut, boolean, 00
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000000
purple.dil8, long, 0000000000000000
taupe.dil8, long, 0000000000000000
reveal.dil8, long, 0000000000000000
claim.dil8, long, 0000000000000000
seta, long, 0000000000000000
lime.soraloc, long, 0000000000000000
yellow.soraloc, long, 0000000000000000
cyan.soraloc, long, 0000000000000000
purple.soraloc, long, 0000000000000000
taupe.soraloc, long, 0000000000000000
reveal.soraloc, long, 0000000000000000
claim.soraloc, long, 0000000000000000
seta, long, 0000000000000000
lime.dil8, long, 0000000000000000
yellow.dil8, long, 0000000000000000
cyan.dil8, long, 0000000000000001
purple.dil8, long, 0000000000000000
team.blue::1, offlineplayer, 81046E616D6520800444696C38
lime.soraloc, long, 0000000000000001
yellow.soraloc, long, 0000000000000000
cyan.soraloc, long, 0000000000000000
purple.soraloc, long, 0000000000000000
team.lime::1, offlineplayer, 81046E616D65208007536F72616C6F63
scoreboard.statut, boolean, 01
scoreboard.statut, boolean, 00
