# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

claim.<none>, long, 0000000000000000
claim.dil8, long, 0000000000000000
claim.erisium_rodymon, long, 0000000000000000
claim.mario45510, long, 0000000000000000
claim.redkill83, long, 0000000000000000
claim.soraloc, long, 0000000000000000
claim.spyco01, long, 0000000000000000
claim.undeadyx, long, 0000000000000000
cyan.<none>, long, 0000000000000000
cyan.dil8, long, 0000000000000000
cyan.erisium_rodymon, long, 0000000000000000
cyan.mario45510, long, 0000000000000001
cyan.redkill83, long, 0000000000000000
cyan.soraloc, long, 0000000000000000
cyan.spyco01, long, 0000000000000000
cyan.undeadyx, long, 0000000000000000
jailed.dil8, long, 0000000000000000
jailed.spyco01, long, 0000000000000000
lime.<none>, long, 0000000000000000
lime.dil8, long, 0000000000000000
lime.erisium_rodymon, long, 0000000000000000
lime.mario45510, long, 0000000000000000
lime.redkill83, long, 0000000000000000
lime.soraloc, long, 0000000000000001
lime.spyco01, long, 0000000000000000
lime.undeadyx, long, 0000000000000001
purple.<none>, long, 0000000000000000
purple.dil8, long, 0000000000000000
purple.erisium_rodymon, long, 0000000000000000
purple.mario45510, long, 0000000000000000
purple.redkill83, long, 0000000000000000
purple.soraloc, long, 0000000000000000
purple.spyco01, long, 0000000000000001
purple.undeadyx, long, 0000000000000000
reveal.<none>, long, 0000000000000000
reveal.dil8, long, 0000000000000000
reveal.erisium_rodymon, long, 0000000000000000
reveal.mario45510, long, 0000000000000000
reveal.redkill83, long, 0000000000000000
reveal.soraloc, long, 0000000000000000
reveal.spyco01, long, 0000000000000000
reveal.undeadyx, long, 0000000000000000
scoreboard.statut, boolean, 00
seta, long, 0000000000000000
setmaxplayer, long, 0000000000000001
spawn, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E0178093FDCD613A68A78A0017909404F800000000000017A093FE281DEF3D2BA5B05706974636808BED92A900379617708C2B56C05
taupe.<none>, long, 0000000000000000
taupe.dil8, long, 0000000000000000
taupe.erisium_rodymon, long, 0000000000000000
taupe.mario45510, long, 0000000000000000
taupe.redkill83, long, 0000000000000000
taupe.soraloc, long, 0000000000000000
taupe.spyco01, long, 0000000000000000
taupe.undeadyx, long, 0000000000000000
team.lime::1, offlineplayer, 81046E616D65208007536F72616C6F63
team.lime::2, offlineplayer, 81046E616D65208008556E446561447958
team.purple::1, offlineplayer, 81046E616D65208007537079636F3031
team.yellow::1, offlineplayer, 81046E616D6520800F4572697369756D5F526F64796D6F6E
tpblue, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809C09F39BD5B80B2FF0179094051800000000000017A09409F3DC3DC1F4CEF05706974636808BF6699770379617708C3073460
tplime, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809409F3E00DE3BD17F0179094053400000000000017A09C09F39698B719AC305706974636808C037A6A2037961770842344FFF
tppurple, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809409F3E6F34BD810E0179094051800000000000017A09409F3E93CE5D9D8805706974636808412116D60379617708C365A631
tpyellow, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E017809C09F38A2DB3104C00179094055400000000000017A09C09F390686F884A005706974636808417F96F90379617708C2428DB0
yellow.<none>, long, 0000000000000000
yellow.dil8, long, 0000000000000000
yellow.erisium_rodymon, long, 0000000000000001
yellow.mario45510, long, 0000000000000000
yellow.redkill83, long, 0000000000000000
yellow.soraloc, long, 0000000000000000
yellow.spyco01, long, 0000000000000000
yellow.undeadyx, long, 0000000000000000

spawn, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E0178093FDBA04EDCCC54CF0179094059400000000000017A093FDE7EBE6C7B91500570697463680842B40000037961770842B49C38
spawn, location, 8605776F726C6480FF0000000181046E616D6520800954617570652067756E0178093FE4C37B8CB0DA5E0179094059400000000000017A093FD74DDA635E7184057069746368084113498B0379617708C335E737
